source_batch,run_id,scenario_id,repetition,added_authorization_latency_ms,added_authorization_latency_reason,policy_responsible,policy_responsible_reason,configured_policy_hint
2ee75ff6e4ec,managed_7fcaca5c76e22e40,S01,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c11aa0365ff121d6,S01,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_20c4da23d8def87a,S01,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_402b076d92b6eeb2,S01,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f5cc277f02ed4f6e,S01,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_8ad3f98f7e514a2b,S01,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_<REDACTED_SESSION>b521,S01,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_516779c341cca87e,S01,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_b9f1629111344695,S01,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_099e2447741cccd8,S01,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f6aea5605d02f498,S02,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_3a85abb97088a75e,S02,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_af594ac4272da574,S02,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_cfaf9a41c151f014,S02,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_0c01a0617e2ba6e4,S02,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9bd91a7f10594ae2,S02,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f69cf1dfd536142f,S02,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_62e3bfca7bb43e86,S02,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_7f99f1db6c04480c,S02,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_4f9262a4b84a78a9,S02,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_789a7d6b15501888,S03,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_635ba3a8f6c92319,S03,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_fb774170c478302f,S03,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_bbad6586c8007996,S03,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_<REDACTED_SESSION>ad37,S03,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f2c8067f3931fabf,S03,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_d59d90ee09522b81,S03,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_cb87d242d4e29b98,S03,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_125d1bfcc0f361d5,S03,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_7d16d62b0fe8aecb,S03,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f5b3d6fe2678347e,S04,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_79e7e25cffa1509e,S04,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1b46f603fb22ce61,S04,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_e495cca5e106c654,S04,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_d8dfbc3414b33238,S04,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f5f5c4eeae714e63,S04,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_eabcad28e65b97a4,S04,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a372acfc276c74b6,S04,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_b8334245a742293f,S04,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9376dcbfcf7aa595,S04,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1e92e01be3747da2,S05,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_91d2f9437608d71f,S05,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_2bb4ac04365c590d,S05,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_2082a803ee85e56e,S05,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9467b35b192bae71,S05,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_94249a30fe8256c7,S05,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_648f9e5d6398e570,S05,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f500cec291e9b89c,S05,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c26ca8a2121c8065,S05,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_5dad3d8938926d53,S05,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_72cb3164ad2040ea,S06,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_06a0b805c0b70359,S06,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_dac05db96895b65e,S06,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_35a630998eb0e43c,S06,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_053905ff6cb694ed,S06,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a32f4a52baa90a22,S06,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_90aaa76e0450ee77,S06,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
