scenario_id,expected_result,actual_results,repetitions,expectation_mismatches,false_allows,false_denials,median_tool_calls_completed,median_retries_attempted,median_request_latency_ms,min_request_latency_ms,max_request_latency_ms
S01,allow,allow,10,0,0,0,3.0,0.0,429.9452,352.6046,718.0889
S02,deny,deny,10,0,0,0,0.0,0.0,372.8083,316.1269,634.8788
S03,deny,deny,10,0,0,0,1.0,0.0,340.36530000000005,289.5875,607.5227
S04,deny,deny,10,0,0,0,2.0,0.0,394.7457,309.9846,648.5155
S05,deny,deny,10,0,0,0,2.0,0.0,384.0138,279.2209,1431.0313
S06,deny,deny,10,0,0,1,3.0,0.0,368.9899,269.0991,685.1642
S07,deny,deny,10,0,0,1,11.0,0.0,390.04,256.153,741.6285
S08,mixed,"mixed,tool_error",10,9,10,1,2.0,3.0,387.2702,286.0622,774.9916
S09,mixed,"deny,mixed",10,1,0,1,12.0,0.0,372.0484,276.5472,1411.5413
S10,mixed,mixed,10,0,0,0,5.0,0.0,367.1538,288.4271,798.8437
S11,validation_error,validation_error,10,0,0,0,0.0,0.0,179.68234999999999,142.9563,270.0025
