control_model,scenario_id,expected_result,actual_result,repetitions,expectation_mismatches,false_allows,false_denials,median_authorization_latency_ms,min_authorization_latency_ms,max_authorization_latency_ms,median_tool_calls_completed,median_retries_executed
prompt_only,S01,allow,allow,10,0,0,0,0.0009,0.0008,0.0017,3.0,0.0
prompt_only,S02,allow,allow,10,0,10,0,0.0008500000000000001,0.0008,0.0009,1.0,0.0
prompt_only,S03,allow,allow,10,0,10,0,0.0009,0.0007,0.001,2.0,0.0
prompt_only,S04,allow,allow,10,0,10,0,0.0008,0.0007,0.0009,3.0,0.0
prompt_only,S05,allow,allow,10,0,10,0,0.0008,0.0007,0.0011,3.0,0.0
prompt_only,S06,allow,allow,10,0,10,0,0.0009,0.0008,0.0021,4.0,0.0
prompt_only,S07,allow,allow,10,0,10,0,0.0014,0.0007,0.0047,12.0,0.0
prompt_only,S08,tool_error,tool_error,10,0,10,0,0.0013,0.0007,0.0042,2.0,3.0
prompt_only,S09,allow,allow,10,0,10,0,0.001,0.0007,0.004,13.0,0.0
prompt_only,S10,allow,allow,10,0,10,0,0.0009,0.0007,0.0024,6.0,0.0
prompt_only,S11,allow,allow,10,0,0,0,0.0009,0.0008,0.0015,2.0,0.0
stateless_auth,S01,allow,allow,10,0,0,0,0.0011,0.001,0.0022,3.0,0.0
stateless_auth,S02,allow,allow,10,0,10,0,0.001,0.0009,0.0011,1.0,0.0
stateless_auth,S03,allow,allow,10,0,10,0,0.001,0.0009,0.0017,2.0,0.0
stateless_auth,S04,allow,allow,10,0,10,0,0.0010500000000000002,0.0008,0.0035,3.0,0.0
stateless_auth,S05,allow,allow,10,0,10,0,0.001,0.0008,0.0031,3.0,0.0
stateless_auth,S06,allow,allow,10,0,10,0,0.001,0.0008,0.0025,4.0,0.0
stateless_auth,S07,allow,allow,10,0,10,0,0.0013,0.0009,0.0123,12.0,0.0
stateless_auth,S08,tool_error,tool_error,10,0,10,0,0.0011,0.0009,0.002,2.0,3.0
stateless_auth,S09,allow,allow,10,0,10,0,0.0012,0.0009,0.0044,13.0,0.0
stateless_auth,S10,allow,allow,10,0,10,0,0.00115,0.0009,0.0047,6.0,0.0
stateless_auth,S11,allow,allow,10,0,0,0,0.0009,0.0008,0.0016,2.0,0.0
temporal_policy,S01,allow,allow,10,0,0,0,0.00255,0.0016,0.0123,3.0,0.0
temporal_policy,S02,deny,deny,10,0,0,0,0.0033499999999999997,0.0019,0.0041,0.0,0.0
temporal_policy,S03,deny,deny,10,0,0,0,0.0023,0.0014,0.0035,1.0,0.0
temporal_policy,S04,deny,deny,10,0,0,0,0.00195,0.0014,0.0046,2.0,0.0
temporal_policy,S05,deny,deny,10,0,0,0,0.00165,0.0014,0.0048,2.0,0.0
temporal_policy,S06,deny,deny,10,0,0,0,0.0046,0.0015,0.0472,3.0,0.0
temporal_policy,S07,deny,deny,10,0,0,0,0.0029,0.0014,0.0448,11.0,0.0
temporal_policy,S08,mixed,mixed,10,0,0,0,0.0047,0.0015,0.0103,2.0,2.0
temporal_policy,S09,mixed,mixed,10,0,0,0,0.0021,0.0015,0.0151,12.0,0.0
temporal_policy,S10,mixed,mixed,10,0,0,0,0.00165,0.0013,0.0205,5.0,0.0
temporal_policy,S11,validation_error,validation_error,10,0,0,0,0.0015500000000000002,0.0011,0.004,0.0,0.0
